NR,Sampling location  ,Country/Island,Long E,Lat N,Sample size (n. of subjects),A9,A11,A12,A13,A14,A15,A16,A17,A18,AC
1,Brno,Czech Rep. (Moravia),16.607,49.195,49,0.000,0.000,0.041,0.245,0.306,0.245,0.102,0.051,0.010,98
2,L'Aquila,Italy (Abruzzo),13.400,42.350,32,0.000,0.016,0.031,0.250,0.328,0.094,0.172,0.109,0.000,64
3,Avezzano,Italy (Abruzzo),13.426,42.028,28,0.000,0.000,0.018,0.250,0.321,0.232,0.143,0.036,0.000,56
4,Pescara,Italy (Abruzzo),14.216,42.462,18,0.000,0.056,0.083,0.333,0.278,0.139,0.111,0.000,0.000,36
5,Benevento,Italy (Campania),14.783,41.130,45,0.000,0.011,0.056,0.222,0.344,0.200,0.122,0.044,0.000,90
6,Foggia,Italy (Apulia),15.545,41.462,26,0.000,0.000,0.038,0.308,0.308,0.115,0.135,0.096,0.000,52
7,Gargano promontory,Italy (Apulia),15.750,41.733,30,0.000,0.000,0.033,0.217,0.283,0.267,0.167,0.033,0.000,60
8,Cilento promontory,Italy (Campania),15.250,40.333,44,0.000,0.000,0.034,0.261,0.295,0.239,0.125,0.045,0.000,88
9,Matera,Italy (Basilicata),16.604,40.666,34,0.000,0.000,0.044,0.265,0.294,0.191,0.162,0.044,0.000,68
10,Altamura,Italy (Apulia),16.553,40.825,20,0.000,0.000,0.000,0.250,0.325,0.250,0.175,0.000,0.000,40
11,Brindisi,Italy (Apulia),17.942,40.633,93,0.000,0.005,0.022,0.280,0.339,0.183,0.102,0.059,0.011,186
12,Lungro,Italy (Calabria),16.123,39.742,24,0.000,0.021,0.000,0.250,0.229,0.271,0.208,0.021,0.000,48
13,Acri,Italy (Calabria),16.383,39.489,30,0.000,0.000,0.033,0.200,0.433,0.217,0.050,0.067,0.000,60
14,Mormanno,Italy (Calabria),15.986,39.890,36,0.000,0.000,0.000,0.236,0.292,0.264,0.125,0.083,0.000,72
15,Paola,Italy (Calabria),16.041,39.360,38,0.000,0.000,0.013,0.342,0.355,0.132,0.092,0.053,0.013,76
16,Lamezia,Italy (Calabria),16.276,38.934,17,0.000,0.000,0.000,0.382,0.118,0.382,0.059,0.059,0.000,34
17,Locri,Italy (Calabria),16.264,38.234,38,0.000,0.013,0.013,0.145,0.382,0.224,0.171,0.039,0.013,76
18,Reggio Calabria,Italy (Calabria),15.647,38.111,41,0.000,0.037,0.024,0.256,0.293,0.171,0.171,0.049,0.000,82
19,Butera ,Italy (Sicily),14.182,37.192,24,0.000,0.000,0.042,0.250,0.396,0.208,0.083,0.021,0.000,48
20,Ioannina,Greece (Epirus),20.854,39.665,25,0.000,0.000,0.000,0.180,0.260,0.300,0.140,0.100,0.020,50
21,Agrinion,Greece (Aetolia-Acarnania),21.410,38.624,22,0.000,0.000,0.000,0.318,0.295,0.205,0.136,0.045,0.000,44
22,Patrai,Greece (Akhaia),21.735,38.247,62,0.000,0.008,0.016,0.177,0.331,0.218,0.234,0.016,0.000,124
23,Kardhitsa,Greece (Thessaly),21.921,39.364,17,0.000,0.000,0.029,0.206,0.382,0.088,0.235,0.029,0.029,34
24,Larisa,Greece (Thessaly),22.419,39.639,17,0.000,0.000,0.029,0.206,0.294,0.265,0.176,0.000,0.029,34
25,Thessaloniki,Greece (Central Macedonia),22.944,40.640,15,0.000,0.000,0.033,0.167,0.433,0.300,0.067,0.000,0.000,30
26,Serrai,Greece (Central Macedonia),23.541,41.091,27,0.000,0.000,0.037,0.167,0.426,0.241,0.093,0.037,0.000,54
27,Mitilini,Greece (Lesvos),26.557,39.107,18,0.000,0.000,0.028,0.167,0.444,0.222,0.056,0.056,0.028,36
28,Khios,Greece (Khios),26.136,38.371,30,0.000,0.000,0.000,0.350,0.367,0.150,0.100,0.033,0.000,60
29,Rhodos,Greece (Rhodos),28.217,36.435,50,0.000,0.000,0.010,0.270,0.330,0.170,0.140,0.070,0.010,100
30,Crete (unspecified),Greece (Crete) ,24.809,35.240,65,0.000,0.008,0.038,0.200,0.331,0.200,0.162,0.062,0.000,130
31,Khania,Greece (Crete) ,24.018,35.514,45,0.000,0.033,0.056,0.167,0.367,0.178,0.144,0.056,0.000,90
32,Rethmnon ,Greece (Crete) ,24.482,35.364,67,0.000,0.000,0.045,0.201,0.425,0.134,0.157,0.037,0.000,134
33,Iraklion,Greece (Crete) ,25.144,35.339,48,0.000,0.021,0.031,0.177,0.406,0.156,0.167,0.031,0.010,96
34,Lasithi plateau,Greece (Crete) ,25.710,35.081,38,0.000,0.000,0.066,0.145,0.434,0.184,0.105,0.066,0.000,76
35,Western Mediterranean coast,Turkey,27.129,38.419,54,0.000,0.000,0.028,0.204,0.343,0.296,0.093,0.037,0.000,108
36,Central Anatolia,Turkey,32.854,39.921,94,0.000,0.000,0.037,0.266,0.250,0.239,0.170,0.032,0.005,188
37, Black Sea coast,Turkey,36.331,41.293,42,0.000,0.000,0.060,0.226,0.286,0.226,0.143,0.060,0.000,84
38,Eastern Anatolia,Turkey,41.277,39.909,33,0.000,0.000,0.015,0.197,0.273,0.197,0.273,0.045,0.000,66
39,Eastern Mediterranean coast,Turkey,34.633,36.800,27,0.000,0.000,0.056,0.259,0.259,0.296,0.093,0.037,0.000,54
40, Cyprus,Turkey (Cyprus),33.430,35.126,46,0.000,0.011,0.022,0.261,0.348,0.239,0.076,0.043,0.000,92
41,Palestine (CEPH),Palestine,35.233,31.952,50,0.010,0.010,0.050,0.190,0.290,0.250,0.130,0.070,0.000,100
